Feature,IV
V4,4.294890022583832
V14,3.77990803799798
V12,3.2107964386223156
V17,3.052002946258778
V10,2.9679108546723083
V11,2.8691779961372545
V3,2.7415003389315244
V16,2.520571674553733
V7,2.273704642523297
V2,2.195282937957941
V21,1.8586538874049834
V9,1.783035687304709
V27,1.657023553731031
V1,1.5266640159868143
V18,1.4262148709764781
V28,1.3526517083974163
V6,1.2317029444664187
V8,1.0588213470994636
V5,1.0579218002743518
V20,0.8483998777837649
V19,0.8110746826647142
Amount,0.6877823409878024
V23,0.47592329001081546
V26,0.15729313657222913
V24,0.1537751233361474
V25,0.10804325896617142
V13,0.07302429167603244
V15,0.06487105752348936
V22,0.04780664021529931
